time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-11-06T17:36:53.020Z,32.8741,-13.17,23.8,3.9,ml,,161,3.75,2.57,us,usc000sv3q,2015-01-31T02:50:05.040Z,"296km E of Camacha, Portugal",earthquake,9.2,8.5,0.256,2,reviewed,mdd,us
2014-11-03T03:39:39.000Z,34.8594,-11.399,19.99,4.6,mb,,40,3.081,1.29,us,usc000stkj,2015-01-20T09:03:13.040Z,"Madeira Islands, Portugal region",earthquake,5.8,3.9,0.066,70,reviewed,us,us
2014-11-02T18:32:06.920Z,35.7398,-4.4709,111.35,4.1,mb,,55,0.753,0.97,us,usc000stit,2015-01-20T09:03:12.040Z,"65km ENE of Oued Laou, Morocco",earthquake,4.2,4.2,0.166,11,reviewed,us,us
2014-10-09T20:21:12.770Z,34.9249,-4.4305,18.67,4.4,mb,,126,2.108,0.99,us,usb000spg9,2015-01-06T23:49:48.040Z,"10km W of Targuist, Morocco",earthquake,8.9,4.6,0.535,2,reviewed,us,us
2014-08-31T20:14:07.040Z,31.0564,-8.7735,10,4.8,mb,,73,3.341,0.98,us,usc000s8jy,2014-11-29T00:09:23.000Z,"27km WSW of Adassil, Morocco",earthquake,8.5,1.9,0.209,8,reviewed,us,us
2014-07-31T17:14:23.840Z,34.999,-2.9655,7.5,4.1,mb,,,,0.91,us,usb000ryxq,2014-10-29T19:52:52.000Z,"8km SSW of Selouane, Morocco",earthquake,,4.6,0.14,16,reviewed,mdd,us
2014-06-02T07:02:09.440Z,35.929,-3.545,0,4.4,mb,,,,0.66,us,usc000ra1b,2014-08-26T01:21:10.000Z,"83km NNE of Al Hoceima, Morocco",earthquake,,1.9,0.219,6,reviewed,mdd,us
2014-05-14T13:51:49.530Z,33.6607,-4.9973,17.89,4.2,mb,,264,2.903,0.55,us,usb000qm9g,2014-08-09T02:53:42.000Z,"18km NE of Ifrane, Morocco",earthquake,,9.2,0.305,3,reviewed,us,us
2014-05-12T03:53:19.970Z,32.2895,-6.2519,10,4,mb,,106,3.671,0.57,us,usb000qimc,2014-08-06T00:55:33.000Z,"7km NNE of Isseksi, Morocco",earthquake,,2,0.298,3,reviewed,us,us
2014-05-01T07:46:26.500Z,34.9512,-10.1239,10,4.2,mb,,300,2.417,1.02,us,usb000q68c,2014-07-27T21:51:14.000Z,"240km NW of El Jadida, Morocco",earthquake,,2,0.529,1,reviewed,us,us
2014-04-15T07:56:47.070Z,33.6872,-5.1015,10,4.2,mb,,65,1.491,0.92,us,usb000pl10,2014-07-01T02:38:10.000Z,"17km N of Ifrane, Morocco",earthquake,,1.9,0.132,17,reviewed,us,us
2014-03-14T21:50:56.150Z,33.8008,-4.1299,18.26,4.2,mb,,126,1.061,1.06,us,usc000nnp4,2014-05-16T21:51:41.000Z,"10km SSE of Tazarine, Morocco",earthquake,,6.4,0.152,12,reviewed,us,us
2014-03-11T12:27:05.040Z,34.2111,-4.9098,10.04,4.6,mb,,76,1.412,0.88,us,usc000n7mb,2014-05-15T02:24:25.000Z,"18km SSW of Bouarouss, Morocco",earthquake,,1.9,0.064,76,reviewed,us,us
2013-12-16T07:06:20.350Z,35.4835,-7.0328,34.84,4.8,mb,,44,1.187,0.88,us,usc000llcq,2015-01-30T10:13:38.477Z,"85km WNW of Larache, Morocco",earthquake,,4.4,0.057,,reviewed,us,us
